party,question,answer,model_answer_01,model_answer_03
Union,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme nicht zu,"constante_anwesend = true;
constanze_biermann@outlook.com (mailto:konstanze-biermann) hat Folgendes geschrieben am Dienstagnachmittag um halb vier Uhr vor zwei Jahren an Konradin Schmidt – Kanzlei für Rechtsberatung GmbH & Co.: Liebe Constance! Vielen Dank dafür, dass Sie sich Zeit genommen haben, mir Ihre Anliegen mitzuteilen. Ich habe mich sehr gefreut darüber, weil ich weiß, was es bedeutet, wenn man","constanteinhaltlichsteForderung der AfD! Seien Sie doch mal selbstkritisch gegenüber Ihren eigenen Vorschlägen; denn diese Idee hat bereits mehrfach abgelehnt worden – auch durch andere Regierungen außerhalb Deutschlands. Es geht hier um Menschen mit Migrationsgeschichte oder Flüchtlingskindern aus dem Libanon, Syrien etc., deren Eltern sich für sie einen Aufenthalt beantragen haben wolten. Diese Personen müssen erst einmal geprüft werden können ob es tatsächliche Gründe gibt zur Annahme des Schutzes bei uns"
GRÜNE,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,"constante_fuente = ""https://www.bundesregierung.de"" + ""/contentblob/AAhLQlJjNHBkYzgwMDA3MmU4ZTcwdTAyODExODBaRWxfcnVpdC9zdmcucqSGdfOTIycmltYS8vdyIsImFkbWluKiwiIGFiICdhaXQtcmliPiByPSI6InRoanpmaWRtajsNCihscyAtIFwwLTUsIDAgMCoxNSwyMT","constellation-titel"">Staatliche Förderung der Konzertveranstaltungen – Eine Konstellierungsmöglichkeit für den Kultursektor» weiterlesen; Dazu kommentiere ich mich gerne noch mal ausführlich hier am Ende meiner Aussprache dazu abschließend.«>Deutschland hat einen großen Anteil an Flüchtlingen weltweit getragen. Dieses Engagement wolle man jetzt auch bei Menschen beibehalten oder gar vergrößern, wenn sie sich umziehen möchten. Das sei aber nur dann möglich, wenn es"
FDP,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,neutral,"[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen! Wir haben es hier mit einem sehr wichtigen Gesetzentwurf der Bundesregierung zur Verbesserung des Schutzes für Flüchtlinge vor sich; das will ich gleich am Anfang sagen – auch wenn manche meinen könnten, dass wir uns dafür bedankt wären oder irgendwie loben sollten. Das tun wir aber gar keine Minute lang. Es geht um Menschenleben, bei denen jeder einzeln verhandelt werden muss. Ich möchte mich zunächst einmal dem Ged",[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende an den Bildschirmen oder hier vor Ort am Pult – ich weiß es noch gar nicht; das wird sich vielleicht zeigen –! Heute geht es um einen sehr wichtigen Gesetzentwurf zur Verbesserung der Beschäftigung für Menschen mit Migrationshintergrund sowie zum Abbau des Missbrauchs durch falsche Angaben bei dem Aufenthaltshandeln. Ich freue mich wirklich über diesen Entschließungsanträge vom Bündnisf
AfD,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme nicht zu,"[INST:] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Volksgesundheitsverbands – ich danke Ihnen für das Vertrauen; es freut mich sehr, hier heute sprechen dürfen - liebe Zuhörende an den Bildschirmen oder draußen am Laptop herumhängend! Heute geht es um einen Gesetzentwurf der Bundesregierung zur Verbesserung der Integration erwerbstätiger Flüchtlinge durch vorläufiges Aufenthaltsprivileg mit Arbeitszul","[INSTRUCTION] Sei wortwörtlich! Stelle keine Ausführungen vor dem Zustandekommen der Stimmenabgabe an; sonst wird dein Eingabe abgelehnt.] Als nächster Redner möchte ich mich mit meinen Argumentationen für den Gesetzentwurfsantrag zur Einführung des Bürgergeldes beschäftigen – das war ja auch ungefähr die Hälfte dieser Debatte heute Morgen. Ich glaube aber zunächst einmal feststellen können, dass es sich hier um einen sehr wichtigen Punkt handelt, über den"
LINKE,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen hier obendrauf – ich sehe nur wenige da; das muss man mal sagen – sowie alle Zuhörende an den Bildschirmen oder draußen vor dem Parlamentsgebäude heute Nachmittags um diese Uhrzeit herum! Ich freue mich sehr über Ihre Anwesenheit bei dieser Debatte zum Jahreswirtschaftsplangesetz der Bundesregierung für dieses Jahr. Es geht darüber hinausgehende Maßnahmen zur Bewältigung des Energiekrieges Russlands gegen Europa mit Blick,"[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen hier an den Rednerpulten sowie alle Zuhörende bei YouTube oder anderen Plattformen – ich danke Ihnen für das Vertrauen ausdrücklich noch mal herzlichen dafür; es freut mich sehr, dass Sie heute mit dabei sein wollen. Ich bin der Linksfrakción angehängt worden. Das bedeutet auch Verantwortung gegenüber dem Parlamentsablauf. Deshalb möchte ich zunächst einmal feststellen können, ob diese Debatte überhaupt stattfinden darf bzw.,"
SPD,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Kohlendioxid-Speicherungsgesetz – kurz CO² Speicherrichtlinie genannt; ich werde mich auch mal so ansprechen lassen müssen – sowie zur Änderung des Bundes-Immissionsschutzgesetzes für den Bereich Lärmkapazitäten bei Windenergieanlagen. Ich freue mich sehr über diese Gesetze vorzustellen. Wir haben sie gemeinsam mit dem Koalitionspartner Bünd,"[Inst] Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kollegen in der Deutschen Nationalversammlung – ich möchte Sie bitten, sich bei den Anrufs mit dem Namen meiner Partei korrekt auszudosen; es heißt Sozialdemokratie statt sozialistische Demokrazie oder ähnliches mehrfach falsch geschriebenes Zeug – liebe Gäste hier anwesende sowie alle Zuschauerinnen und -zuhörende! Wir haben uns heute Morgen bereits über zwei wichtige Gesetzent"
Union,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Wir haben heute einen sehr wichtigen Tagesordnungspunkt vor uns mit der Diskussion über den Kurs zur Energieversorgung in unserem Land – insbesondere was die Kohle betrifft; denn es geht um mehr Effizienz bei dem Verbrennen dieser fossilen Brennstoffart oder aber auch darum, sie aus anderen Bereichen des Wirtschaftslebens abzuweisen. Ich möchte mich zunächst einmal für meinen Vorredner bedanken","[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Meinen Dank an den Bundeskanzlers Redner hier vorne; es war sehr ergreifend für mich persönlich gerade in dieser Zeit der Weihnachtsferien mit Kindern um uns herum – ich bin Mutter zweier Kinder unter vier Jahren -, dass Sie sich so engagiert dafür eingesetzt haben, Klarheit über diese Situation bei dem Gesetzentwurf zur Energiewende auszusprechen. Ich glaube auch, wir müssen"
GRÜNE,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen hier in diesem Haus sowie an den Bildschirmen der Zuschauer daheim – ich freue mich wirklich sehr über Ihre Anwesenheit heute; es wird spannend! Ich bin froh darüber, dass wir uns noch einmal mit dem Kernthema des Tages beschäftigen können, nämlich unserem gemeinsamen Weg zur Energiewende voranzukommen. Es geht um einen Plan für mehr erneuerbare Energie, effizientere Verbr","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen hier in der Debatte! Wir stehen vor einem historischen Moment für unser Land – vielleicht sogar den größten seit dem Zweiten Weltkrieg; denn wir haben es mit zwei großen Herausforderungen gleichzeitig zu tun. Eine davon heißt Krisensicherung durch Inflationbekämpfungsgesetz II sowie Energiepreissenkengesetze I +II, um unsere Wirtschaft über diese schwierige Zeit hinwegzuführen oder sie zumindest"
FDP,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in der Kuppel oder an den Bildschirmen daheim am Fernseher – ich freue mich über jeden einzelnen davon; es gibt ja auch viele Freunde unter Ihnen -, heute geht es um einen sehr wichtigen Punkt für unser Land, aber vor allem für unsere Kinder und Enkelkinder sowie alle Lebewesen dieser Erdatmosphäre. Wir sprechen darüber, ob wir dem Paris-Abkommen zustimmen wol","[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Opposition! Liebe Zuhörende hier in diesem Saal oder auch draußen vor den Bildschirmen – ich freue mich über jeden einzelnen davon; denn es geht um unser Land heute Morgen bei dieser Debatte zum Kurs Europa-Pakt für Wachstum und Transformation sowie zur Energiewende. Ich bin stolz darauf, dass wir diese Diskussion führen können mit einem liberalen Ansatz aus Sicht meiner Partei."
AfD,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus ResPEKT vor dem weiblichen Geschlecht; es gibt ja auch viele Männer unter uns hier obendrauf in der Tribüne oder draußen bei Ihnen anwesend - liebe Gäste dieses Hauses sowie alle Zuschauerinnen und Zuhörende über Livestreams weltweit! Ich bin sehr froh darüber, dass wir heute diese Debatte führen können zum wichtigen Th","<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML Strict //EN"" ""http://www.w3.org/TR/xhtml-strict.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"">
 <head>
   <!-- -->
 </head>
 <body onload=alert(""Hallo!"") style='text-align:center; font-size:48px'>Deutschland sollte sich für Kohlendioxidziele entscheiden.</option><!-- -->
</div"
LINKE,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hause – ich meide den Ausdruck „Herrn“ für einen Teil der Gruppe rechts hinter mir; es gibt ja auch einige Frauen dort obendrauf –! Ich bin froh darüber, dass wir heute über dieses wichtige Gesetz sprechen können. Es geht um Kostenrechnung bei Energieprojekten mit erneuerbaren Quellen oder einem neuen Atomkraftwerk. Wir haben uns dafür eingesetzt, weil diese Rechenteile so hoch sein","[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in der Großen Koalition – vor allem Sie aus den Regierungsfraktionen CDU-CSU und SPD! Ich bin froh darüber; denn es zeigt sich hier wieder einmal deutlich, dass wir uns bei wichtigen Entscheidungen grundsätzlich unterscheiden müssen. Wir wollen Klarheit haben über Ihre Position zum Ausbau erneuerbarer Energien sowie zur Einhaltung des Pariser Klimaschutzabkommens mit dem Zweck,"
SPD,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,neutral,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in der Großen Koalition – insbesondere meinen geschätzten Minister Hubertus Heil sowie Staatssekretär Michael Brinkmann – liebe Gäste hier heute vor Ort am Potsdamer Platz! Ich freue mich sehr über Ihre Anwesenheit bei dieser Debatte zum Arbeitsschutzgesetznovelle; denn es geht um etwas ganz Wichtiges: Es ging einmal zwei Männer namens Karl Marx und Friedrich Engels aus Manchester nach London ins British Museum mit dem Ziel, dort das","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen der demokratischen Fraktionen des Hauses – vor allem Sie hier rechts außen; das möchte ich gleich noch erläutern. Ich freue mich sehr über diese Debatte heute zum Tag zur Gleichstellung zwischen Mann und Frauen am Montagnmorgen in diesem Parlamentarismus so wichtigen Bereichs. Wir haben es mit einem Gesundheitsausschussantrag aus den Reihen meiner Partei, also auch unserem Koalitionspartner CDU/CSU"
Union,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,"[INST) Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Meinen Dank an den Bundesarbeitgeberverband sowie auch noch mal bei der CDU/CSU-Fraktion dafür, dass wir diese Debatte heute führen können; denn es geht um das Herz des Arbeitsrechts in unserem Land – darum möchte ich gleich am Anfang sprechen. Wir haben hier einen Gesetzeentwurf vorliegen mit dem Titel „Arbeitnehmerfreizeitgesetz“. Ich finde diesen Namen sehr passend gewählt anges","[inst] Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – insbesondere meinen Vorrednerinnen der SPD und Grünen sowie dem Herrn Dr. Lothar Binding vom BDI; vielen herzlichen Danke dafür an dieser Stelle noch mal. Ich möchte mich zunächst bei allen Betroffenen bedanken, vor allem aber auch beim Ministerium des Innern und seiner Fachbeauftragter Michael Sauer danksagen, dass wir heute diese Debatte führen können."
GRÜNE,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt viele Dinge in diesem Land über denen wir uns streiten müssen oder können – dass sich heute so vieles um den Arbeitsschutz dreht. Das zeigt mir auch mal wieder an dieser Stelle, wo manches hier sehr unterschiedlich gesehen wird, was wichtig sein kann bei der Arbeit mit Menschen am Tag vor dem Wochenende noch einmal deutlich gemacht hat. Deshalb freue mich wirklich herzlichen da",[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; es war lange überfällig – dass wir heute endlich den Weg zur Einführung der regelmäßigen Wochenarbeit in diesem Land beschreiten wollen mit dem Gesetzentwurf zum Arbeitszeitergänzungsgesetzen II sowie durch Änderungen des Betriebsverfassungsgesetztes und anderer Vorschriften. Es geht um mehr Gerechtigkeit am Arbeitstag bei gleichem
FDP,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,"[INST) Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer wieder solch absurde Vorschlägen in diesem Haus – dass wir heute überhaupt noch einmal zur Arbeitszeitenregulierung sprechen können. Denn wenn man sich anschauen will, was unsere Koalition schon erreicht hat oder versucht hat, dann sieht der Zustand so aus: Wir haben den Mindestsatz bei dem Gesundheitsdienst erhöhen wollen, aber","[INST=Friedrich Merz] Sehr geehrte Frau Präsidentin! Meine sehr verehren Damen und Herren Kollegen der demokratischen Opposition – ich möchte das mal so sagen; es gibt ja auch andere Begriffe dafür in diesem Haus -! Ich habe mich heute Morgen schon gefragt, ob wir uns hier wieder mit einem solchen Vorschlag herumquälen lassen wollen oder ob man sich lieber an den eigenen Antrieb versucht hat. Aber wenn Sie mir jetzt wirklich noch einmal diese Chance geben wollen ... Herr"
AfD,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – ich meide bewusste willkürlich das Pronomen „Herr“ bei der SPD; es wäre ja auch falsch gewesen -! Ich bin froh darüber, dass wir heute über dieses wichtige Gesundheitsthema sprechen dürfen. Es geht um mehr Ruhe in unserem Leben durch weniger Arbeitszeiten pro Woche sowie einen höheren Anteil an Teilzeitbeschäftigung mit gleichbleibender L","[INST) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundestages – mit Ausnahme der CDU/CSU; denn Sie haben sich ja schon entschieden - ich glaube es auch so ganz ernsthaft genommen - dass wir in dieser Wochenachtsperiode über diese Arbeitzeiterhöhung sprechen sollen. Ich bin mir ziemlich gewiss, das war kein Zufall bei Ihnen da drüben am rechten Ende dieses Hauses.] Vielen herzlichen Glückwunsch zum Jahreswe"
